,implied_vol,premium,delta,vega,value
2014-01-21,0.17470695081967214,331.68602976470765,-0.23446575799407537,3964.165519417416,0.0
2014-01-22,0.17118564480874318,325.88358165352474,-0.2360706032640003,3960.3690620045013,0.0
2014-01-23,0.17066132240437157,365.9096245265928,-0.26067267852109655,4121.297078708721,0.0
2014-01-24,0.16690760655737705,438.6470070897931,-0.307907403246768,4365.820698651063,0.0
2014-01-27,0.17137266666666667,466.0594371028228,-0.31737309392662916,4381.939402978623,0.0
2014-01-28,0.17359308196721313,445.85279068605996,-0.30365446996739265,4313.312696334286,0.0
2014-01-29,0.17266144262295083,500.58014789468234,-0.3346809231538137,4429.620617643232,0.0
2014-01-30,0.17302736612021857,464.72398925812195,-0.3158991999680334,4346.314941833391,0.0
2014-01-31,0.1739074918032787,516.0749567501634,-0.34190330061539936,4434.448643169072,0.0
2014-02-03,0.17434919672131147,633.5575297583782,-0.40093927675748736,4539.781997008417,0.0
2014-02-04,0.17851463387978142,621.9386912351656,-0.3885786181270098,4511.614496519652,0.0
2014-02-05,0.18073306557377047,631.9754320507591,-0.3900414248639385,4504.328924579222,0.0
2014-02-06,0.17919184699453553,552.9866797347195,-0.3557055831438011,4416.417741553017,0.0
2014-02-07,0.17528339890710382,477.79607353252595,-0.32447010261668763,4298.626997027691,0.0
2014-02-10,0.17163765027322403,454.38338953976563,-0.3197795732495067,4244.035151130643,0.0
2014-02-11,0.17230562295081966,396.8969562698203,-0.2871175768576014,4083.9138003220305,0.0
2014-02-12,0.16893792896174864,390.3303794690328,-0.28900735403803,4078.6973406175616,0.0
2014-02-13,0.17042662841530054,376.5850321413982,-0.27931094862152456,4018.784171782225,0.0
2014-02-14,0.17098127868852458,342.99414080874885,-0.2589825046306491,3890.2239634458633,0.0
2014-02-17,0.17098127868852458,338.0426359926778,-0.2577206156264562,3851.467893018296,0.0
2014-02-18,0.1683234480874317,332.3665503189213,-0.258479138837614,3841.924050378285,0.0
2014-02-19,0.16629345355191255,346.6395550007401,-0.2709045601660461,3902.965389840908,0.0
2014-02-20,0.17194743169398907,342.23509652475786,-0.2607563416626786,3840.4936117015723,0.0
2014-02-21,0.166319087431694,326.8232656026412,-0.2595889873881133,3814.7448595095984,0.0
2014-02-24,0.1669858524590164,298.44226331403024,-0.24207232104373166,3671.3368501286504,0.0
2014-02-25,0.16718014207650272,304.26055687008466,-0.24621195220823633,3689.1336371557395,0.0
2014-02-26,0.16773431147540985,300.0924813260285,-0.24332651997772664,3660.4240841492224,0.0
2014-02-27,0.1727112568306011,298.7441763889333,-0.23656555170568577,3611.5791936126548,0.0
2014-02-28,0.17020480327868853,276.83732953454364,-0.2259085933872968,3521.1418373877477,0.0
2014-03-03,0.17289234972677595,318.1833845123506,-0.25119046734427153,3667.003938951,0.0
2014-03-04,0.1702422349726776,254.3786063919024,-0.21284757130844462,3381.57357851214,0.0
2014-03-05,0.1695544043715847,258.1451509397384,-0.21680818638580995,3401.2647960444597,0.0
2014-03-06,0.16985892896174865,244.51436901716625,-0.20752630127078692,3318.758648810269,0.0
2014-03-07,0.1738649836065574,249.83460138578675,-0.2071823912591254,3312.5921289495222,0.0
2014-03-10,0.17397926775956282,252.51025898708804,-0.21053804533399306,3309.4078846360435,0.0
2014-03-11,0.17241881967213113,260.1360065636086,-0.2181621643094474,3355.2522526671587,0.0
2014-03-12,0.1747535136612022,268.79665988623947,-0.22188641725917496,3376.102808796486,0.0
2014-03-13,0.17050425683060108,307.20199881726194,-0.25362289530817644,3571.5682638493026,0.0
2014-03-14,0.17252400546448088,323.8471088243632,-0.2624704440823976,3615.5267961999893,0.0
2014-03-17,0.17457079234972678,280.7714146495937,-0.23324734804169117,3403.257117960422,0.0
2014-03-18,0.17485142076502733,259.8702605180051,-0.21923858631923998,3294.5274362173345,0.0
2014-03-19,0.17144301092896175,272.5602996514044,-0.232767236813322,3374.216820799438,0.0
2014-03-20,0.17275026775956284,250.7485187595753,-0.2165169704256582,3250.558177684273,0.0
2014-03-21,0.1672894043715847,237.54602174158754,-0.21400795925750093,3213.4468063152426,0.0
2014-03-24,0.16979056830601094,246.32999777313444,-0.21928417036249304,3224.466018221256,0.0
