This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19910118,1.42,0.33,-0.87,0.19,0.14,0.02,1.410012438,0.329456695,-0.873806594,0.189819728,0.139902091
19910121,-1.11,0.23,-0.06,-0.04,0.05,0.02,-1.116206471,0.229735905,-0.060018007,-0.040008002,0.049987504
19910122,0.2,-0.82,-0.3,0.28,0.09,0.02,0.199800266,-0.823380493,-0.300450902,0.27960873,0.089959524
19910123,-1.53,-1.12,0.19,0.09,-0.19,0.02,-1.541825273,-1.126319228,0.189819728,0.089959524,-0.190180729
19910124,1.09,-1.35,-0.72,0.04,-0.1,0.02,1.084102318,-1.359195352,-0.722604509,0.039992002,-0.100050033
19910125,1.15,-0.73,-0.46,0.09,-0.24,0.02,1.143437763,-0.732677539,-0.461061256,0.089959524,-0.240288462
19910128,-0.08,0.27,0.09,0.13,0.26,0.02,-0.080032017,0.269636155,0.089959524,0.129915573,0.259662585
19910129,0.3,0.23,0.43,0.22,-0.03,0.02,0.299550898,0.229735905,0.429078142,0.219758354,-0.030004501
19910130,-0.37,0.75,0.24,-0.1,0.01,0.02,-0.370686193,0.747201484,0.23971246,-0.100050033,0.0099995
19910131,0.09,0.19,0.01,0.01,-0.03,0.02,0.089959524,0.189819728,0.0099995,0.0099995,-0.030004501
19910201,-0.62,-0.05,0.13,0.35,0.09,0.02,-0.621929981,-0.050012504,0.129915573,0.349388925,0.089959524
19910204,0.89,0.43,-0.48,-0.43,-0.07,0.02,0.886062843,0.429078142,-0.4811557,-0.430927159,-0.070024511
19910205,3.01,0.81,0.5,-0.16,0.25,0.02,2.965588491,0.806737108,0.498754151,-0.160128137,0.24968802
19910206,2.34,0.6,-0.56,-0.54,-0.15,0.02,2.313041739,0.598207168,-0.561573879,-0.54146327,-0.150112613
19910207,1.05,0.3,-0.16,0.03,-0.13,0.02,1.044525786,0.299550898,-0.160128137,0.029995501,-0.130084573
19910208,0.96,1.31,-0.05,-0.55,0.36,0.02,0.95542128,1.301493708,-0.050012504,-0.551518069,0.359353551
19910211,0.12,0,0,0,0,0.02,0.119928058,0,0,0,0
19910212,2.8,0.33,-0.38,-0.3,-0.19,0.02,2.761516703,0.329456695,-0.380723834,-0.300450902,-0.190180729
19910213,0.22,1.53,-0.39,-0.94,0.18,0.02,0.219758354,1.518413533,-0.390762483,-0.944445883,0.179838194
19910214,0.37,1.66,-0.64,-0.39,0.08,0.02,0.369317184,1.646372603,-0.64205678,-0.390762483,0.079968017
19910215,-0.64,0.05,1.04,-0.18,-0.19,0.02,-0.64205678,0.049987504,1.034629205,-0.180162195,-0.190180729
19910218,3.11,0.94,0.4,-0.69,0.6,0.02,3.062619354,0.935609492,0.399202127,-0.692391507,0.598207168
19910219,-0.8,0.87,-0.17,-0.85,-0.2,0.02,-0.80321717,0.866237308,-0.170144664,-0.853633102,-0.200200267
19910220,-0.74,0.31,-0.1,0.03,0.14,0.02,-0.742751583,0.309520491,-0.100050033,0.029995501,0.139902091
19910221,-0.32,0.48,0.46,-0.06,0.24,0.02,-0.320513095,0.478851673,0.458945233,-0.060018007,0.23971246
19910222,-1.18,-0.04,0.11,-0.21,0.26,0.02,-1.187017257,-0.040008002,0.109939544,-0.210220809,0.259662585
19910225,1.09,-1.25,0.38,0.09,-0.38,0.02,1.084102318,-1.257878221,0.379279824,0.089959524,-0.380723834
19910226,-0.16,1.17,0.24,0.24,-0.27,0.02,-0.160128137,1.163208423,0.23971246,0.23971246,-0.270365157
19910227,-0.41,0.48,0.41,0.21,0.29,0.02,-0.410842804,0.478851673,0.40916179,0.209779808,0.289580311
19910228,0.66,-0.2,-0.34,0.19,-0.21,0.02,0.657831536,-0.200200267,-0.340579313,0.189819728,-0.210220809
19910301,-2.35,0.4,0.42,0.08,-0.11,0.02,-2.378052867,0.399202127,0.419120462,0.079968017,-0.110060544
19910304,-0.99,0.32,0.68,0.02,-0.25,0.02,-0.994933085,0.31948909,0.677698428,0.019998,-0.250313022
19910305,0.22,0.2,0.09,-0.02,-0.27,0.02,0.219758354,0.199800266,0.089959524,-0.020002,-0.270365157
19910306,0.83,-0.49,0.9,0.6,-0.44,0.02,0.826574442,-0.491204436,0.895974137,0.598207168,-0.440970849
19910307,0.2,0.42,-0.16,-0.79,0.34,0.02,0.199800266,0.419120462,-0.160128137,-0.793137033,0.339423307
19910308,0.4,0.29,-0.3,0.55,0.63,0.02,0.399202127,0.289580311,-0.300450902,0.548493023,0.628023796
19910311,-0.98,0.99,0.37,-0.25,-0.47,0.02,-0.984833605,0.985131605,0.369317184,-0.250313022,-0.471107973
19910312,1.69,-0.37,-1.01,-0.11,0.75,0.02,1.675878381,-0.370686193,-1.015135106,-0.110060544,0.747201484
19910313,-0.97,0.79,-0.12,-0.23,0.04,0.02,-0.974735145,0.786895838,-0.120072058,-0.230264906,0.039992002
19910314,0.8,-0.06,-0.36,0.31,-0.13,0.02,0.796816965,-0.060018007,-0.360649559,0.309520491,-0.130084573
19910315,0.78,-0.4,-0.1,0.37,0.12,0.02,0.776973726,-0.40080214,-0.100050033,0.369317184,0.119928058
19910318,0.22,-0.18,-0.25,-0.1,-0.67,0.02,0.219758354,-0.180162195,-0.250313022,-0.100050033,-0.672254576
19910319,-0.28,-0.03,0.02,-0.21,-0.43,0.02,-0.280392733,-0.030004501,0.019998,-0.210220809,-0.430927159
19910320,-2.37,0.39,-0.31,-0.29,-0.11,0.02,-2.398536275,0.389241472,-0.310481495,-0.290421315,-0.110060544
19910321,0.71,0,0,0,0,0.02,0.707491367,0,0,0,0
