This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19910212,-0.78,0.79,-0.11,0.02,-0.01,0.02,-0.783057912,0.786895838,-0.110060544,0.019998,-0.0100005
19910213,0.41,0.04,0.03,0.05,-0.23,0.02,0.40916179,0.039992002,0.029995501,0.049987504,-0.230264906
19910214,0.36,0.11,0.2,0.05,-0.33,0.02,0.359353551,0.109939544,0.199800266,0.049987504,-0.330545701
19910215,0.38,-0.43,-0.18,0.31,0.14,0.02,0.379279824,-0.430927159,-0.180162195,0.309520491,0.139902091
19910218,0.82,-0.26,0.2,-0.19,-0.05,0.02,0.816656267,-0.260338587,0.199800266,-0.190180729,-0.050012504
19910219,-0.1,0.34,-0.22,0.3,0.18,0.02,-0.100050033,0.339423307,-0.220242356,0.299550898,0.179838194
19910220,-0.94,0.93,-0.44,0.14,-0.12,0.02,-0.944445883,0.925702126,-0.440970849,0.139902091,-0.120072058
19910221,0.8,0.01,0.03,0.09,-0.12,0.02,0.796816965,0.0099995,0.029995501,0.089959524,-0.120072058
19910222,-0.16,-0.02,0,0.01,-0.15,0.02,-0.160128137,-0.020002,0,0.0099995,-0.150112613
19910225,0.33,-0.25,0.26,0.21,0.14,0.02,0.329456695,-0.250313022,0.259662585,0.209779808,0.139902091
19910226,-0.99,1.14,-0.38,-0.03,-0.32,0.02,-0.994933085,1.133550966,-0.380723834,-0.030004501,-0.320513095
19910227,0.4,-0.16,0.37,-0.05,-0.35,0.02,0.399202127,-0.160128137,0.369317184,-0.050012504,-0.350613933
19910228,0.58,0.31,0.07,0.31,-0.33,0.02,0.578324476,0.309520491,0.069975511,0.309520491,-0.330545701
19910301,-1.21,0.73,-0.09,0.06,-0.42,0.02,-1.217380093,0.727348397,-0.090040524,0.059982007,-0.420884477
19910304,0.39,0.31,0.02,0.2,-0.15,0.02,0.389241472,0.309520491,0.019998,0.199800266,-0.150112613
19910305,1.04,-0.43,0,0.3,0.01,0.02,1.034629205,-0.430927159,0,0.299550898,0.0099995
19910306,1.66,-0.44,0.08,0.5,-0.35,0.02,1.646372603,-0.440970849,0.079968017,0.498754151,-0.350613933
19910307,-0.65,0.51,0.05,0.08,0.53,0.02,-0.652121699,0.508703905,0.049987504,0.079968017,0.528600443
19910308,-0.42,-0.27,0.35,-0.07,0.05,0.02,-0.420884477,-0.270365157,0.349388925,-0.070024511,0.049987504
19910311,-1.02,0.93,-0.27,-0.16,-0.38,0.02,-1.025237646,0.925702126,-0.270365157,-0.160128137,-0.380723834
19910312,0.36,0.31,0,-0.01,-0.18,0.02,0.359353551,0.309520491,0,-0.0100005,-0.180162195
19910313,-0.88,0.62,-0.22,0.09,-0.59,0.02,-0.883894867,0.618085908,-0.220242356,0.089959524,-0.591747376
19910314,1.35,-0.91,0.1,0.13,-0.44,0.02,1.340968691,-0.914165792,0.099950033,0.129915573,-0.440970849
19910315,-1.29,0.57,0.17,-0.32,0.13,0.02,-1.298392756,0.568381647,0.169855664,-0.320513095,0.129915573
19910318,-2.08,0.45,-0.12,-0.05,-0.15,0.02,-2.101936722,0.448990527,-0.120072058,-0.050012504,-0.150112613
19910319,-2.28,0.74,-0.11,0.16,0.32,0.02,-2.30639396,0.737275433,-0.110060544,0.159872136,0.31948909
19910320,-0.2,0.15,-0.34,0.31,-0.25,0.02,-0.200200267,0.149887612,-0.340579313,0.309520491,-0.250313022
19910321,1.33,-0.59,0.19,0.13,-0.04,0.02,1.321233147,-0.591747376,0.189819728,0.129915573,-0.040008002
19910322,-0.79,0.32,0.08,0.28,0.29,0.02,-0.793137033,0.31948909,0.079968017,0.27960873,0.289580311
19910325,-2.04,-0.1,0.05,0.05,0.33,0.02,-2.06109539,-0.100050033,0.049987504,0.049987504,0.329456695
19910326,-0.57,-0.09,0.18,0.06,-0.17,0.02,-0.5716307,-0.090040524,0.179838194,0.059982007,-0.170144664
19910327,-0.14,-0.67,-0.14,0.3,0.03,0.02,-0.140098092,-0.672254576,-0.140098092,0.299550898,0.029995501
19910328,0.17,-0.13,-0.06,0.11,-0.08,0.02,0.169855664,-0.130084573,-0.060018007,0.109939544,-0.080032017
19910329,0.5,-0.01,-0.17,0.07,-0.07,0.02,0.498754151,-0.0100005,-0.170144664,0.069975511,-0.070024511
19910401,0.88,0.13,0.14,0.03,-0.12,0.02,0.876150567,0.129915573,0.139902091,0.029995501,-0.120072058
19910402,1.29,-0.6,-0.04,0.1,-0.37,0.02,1.281750371,-0.601807233,-0.040008002,0.099950033,-0.370686193
19910403,1.26,-0.72,-0.19,0.14,0.43,0.02,1.252128055,-0.722604509,-0.190180729,0.139902091,0.429078142
19910404,0.56,0.15,-0.19,0.05,-0.19,0.02,0.558437829,0.149887612,-0.190180729,0.049987504,-0.190180729
19910405,-0.35,-0.45,-0.25,-0.04,0.06,0.02,-0.350613933,-0.451015548,-0.250313022,-0.040008002,0.059982007
19910408,-0.82,0.27,-0.14,0.01,0.08,0.02,-0.823380493,0.269636155,-0.140098092,0.0099995,0.079968017
19910409,1.13,0.17,0.12,0.01,0.05,0.02,1.123663193,0.169855664,0.119928058,0.0099995,0.049987504
19910410,-1.28,0.37,0.04,-0.11,0.06,0.02,-1.288262583,0.369317184,0.039992002,-0.110060544,0.059982007
19910411,0.75,-0.16,0.04,-0.07,-0.2,0.02,0.747201484,-0.160128137,0.039992002,-0.070024511,-0.200200267
19910412,-0.44,-0.13,0.29,-0.16,0.36,0.02,-0.440970849,-0.130084573,0.289580311,-0.160128137,0.359353551
19910415,1.07,-0.29,-0.22,0.27,-0.11,0.02,1.06431601,-0.290421315,-0.220242356,0.269636155,-0.110060544
19910416,-0.27,0.46,-0.22,0.15,0.28,0.02,-0.270365157,0.458945233,-0.220242356,0.149887612,0.27960873
19910417,0.42,-0.5,0.04,0.1,-0.01,0.02,0.419120462,-0.501254182,0.039992002,0.099950033,-0.0100005
19910418,-1.43,0.32,0.11,-0.22,0.23,0.02,-1.440323031,0.31948909,0.109939544,-0.220242356,0.229735905
19910419,-2.69,0.4,0.04,-0.03,-0.21,0.02,-2.726842715,0.399202127,0.039992002,-0.030004501,-0.210220809
19910422,-2.54,0.72,0.06,0,0.15,0.02,-2.572814857,0.717420375,0.059982007,0,0.149887612
19910423,1.46,-0.6,0.03,0.24,0.39,0.02,1.449444615,-0.601807233,0.029995501,0.23971246,0.389241472
