This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19910122,-0.39,0.08,-0.11,-0.14,0.08,0.02,-0.390762483,0.079968017,-0.110060544,-0.140098092,0.079968017
19910123,-0.31,0.45,0.05,-0.15,-0.18,0.02,-0.310481495,0.448990527,0.049987504,-0.150112613,-0.180162195
19910124,1.1,-0.61,-0.24,0.02,-0.3,0.02,1.093994004,-0.611868101,-0.240288462,0.019998,-0.300450902
19910125,0.63,-0.19,-0.23,0.08,-0.14,0.02,0.628023796,-0.190180729,-0.230264906,0.079968017,-0.140098092
19910128,0.18,0.31,0.16,0.03,-0.16,0.02,0.179838194,0.309520491,0.159872136,0.029995501,-0.160128137
19910129,0.13,0.27,0.14,-0.04,-0.17,0.02,0.129915573,0.269636155,0.139902091,-0.040008002,-0.170144664
19910130,0.69,0.23,0.12,-0.04,-0.38,0.02,0.687630394,0.229735905,0.119928058,-0.040008002,-0.380723834
19910131,0.71,0.35,0.03,-0.16,0.07,0.02,0.707491367,0.349388925,0.029995501,-0.160128137,0.069975511
19910201,-0.07,0.74,0.28,-0.14,-0.07,0.02,-0.070024511,0.737275433,0.27960873,-0.140098092,-0.070024511
19910204,1.08,0.01,0.24,-0.3,-0.17,0.02,1.074209653,0.0099995,0.23971246,-0.300450902,-0.170144664
19910205,1.79,-0.41,-0.01,-0.05,-0.08,0.02,1.774168148,-0.410842804,-0.0100005,-0.050012504,-0.080032017
19910206,1.59,-0.24,-0.63,-0.22,0.13,0.02,1.577491912,-0.240288462,-0.631992874,-0.220242356,0.129915573
19910207,0.48,-0.3,0.17,0,0.27,0.02,0.478851673,-0.300450902,0.169855664,0,0.269636155
19910208,0.63,-0.3,-0.07,-0.21,0.21,0.02,0.628023796,-0.300450902,-0.070024511,-0.210220809,0.209779808
19910211,1.38,-0.1,0.14,0.08,-0.11,0.02,1.370564706,-0.100050033,0.139902091,0.079968017,-0.110060544
19910212,0.61,0.01,-0.29,0,-0.13,0.02,0.608147032,0.0099995,-0.290421315,0,-0.130084573
19910213,0.5,0.37,-0.19,-0.07,-0.01,0.02,0.498754151,0.369317184,-0.190180729,-0.070024511,-0.0100005
19910214,-0.2,0.6,0.15,-0.28,-0.17,0.02,-0.200200267,0.598207168,0.149887612,-0.280392733,-0.170144664
19910215,0.28,0.11,0.31,0.18,-0.15,0.02,0.27960873,0.109939544,0.309520491,0.179838194,-0.150112613
19910218,1.37,-0.6,-0.01,-0.21,0.28,0.02,1.360700341,-0.601807233,-0.0100005,-0.210220809,0.27960873
19910219,-0.27,0.4,-0.14,-0.12,-0.09,0.02,-0.270365157,0.399202127,-0.140098092,-0.120072058,-0.090040524
19910220,-0.89,0.51,-0.15,0.01,0.12,0.02,-0.893984157,0.508703905,-0.150112613,0.0099995,0.119928058
19910221,0.06,0.42,-0.01,0.17,0,0.02,0.059982007,0.419120462,-0.0100005,0.169855664,0
19910222,-0.38,0.38,-0.13,-0.06,-0.08,0.02,-0.380723834,0.379279824,-0.130084573,-0.060018007,-0.080032017
19910225,0.64,-0.48,0.05,0.31,-0.21,0.02,0.637960696,-0.4811557,0.049987504,0.309520491,-0.210220809
19910226,-0.7,0.61,-0.03,-0.27,-0.07,0.02,-0.702461494,0.608147032,-0.030004501,-0.270365157,-0.070024511
19910227,0.35,0,0.11,-0.12,0.14,0.02,0.349388925,0,0.109939544,-0.120072058,0.139902091
19910228,0.43,0.44,0.25,-0.16,-0.06,0.02,0.429078142,0.43903483,0.24968802,-0.160128137,-0.060018007
19910301,-0.87,0.69,0.17,-0.08,-0.17,0.02,-0.873806594,0.687630394,0.169855664,-0.080032017,-0.170144664
19910304,-0.23,0.93,0.38,-0.1,-0.26,0.02,-0.230264906,0.925702126,0.379279824,-0.100050033,-0.260338587
19910305,1.01,0.04,-0.22,0.16,-0.37,0.02,1.004933585,0.039992002,-0.220242356,0.159872136,-0.370686193
19910306,0.72,-0.12,0.39,0.29,-0.32,0.02,0.717420375,-0.120072058,0.389241472,0.289580311,-0.320513095
19910307,-0.09,0.16,-0.15,-0.06,0.17,0.02,-0.090040524,0.159872136,-0.150112613,-0.060018007,0.169855664
19910308,-0.04,-0.04,-0.12,0.08,0.39,0.02,-0.040008002,-0.040008002,-0.120072058,0.079968017,0.389241472
19910311,-0.8,0.49,0.2,-0.17,-0.12,0.02,-0.80321717,0.488803407,0.199800266,-0.170144664,-0.120072058
19910312,0.38,-0.39,-0.13,0.05,0.38,0.02,0.379279824,-0.390762483,-0.130084573,0.049987504,0.379279824
19910313,-0.2,0.31,-0.34,0.08,-0.31,0.02,-0.200200267,0.309520491,-0.340579313,0.079968017,-0.310481495
19910314,0.57,-0.21,-0.11,0.16,-0.12,0.02,0.568381647,-0.210220809,-0.110060544,0.159872136,-0.120072058
19910315,-0.1,-0.41,-0.12,0.13,0.09,0.02,-0.100050033,-0.410842804,-0.120072058,0.129915573,0.089959524
19910318,-0.54,-0.08,-0.3,0.05,-0.31,0.02,-0.54146327,-0.080032017,-0.300450902,0.049987504,-0.310481495
19910319,-1.12,0.19,-0.33,-0.19,0.04,0.02,-1.126319228,0.189819728,-0.330545701,-0.190180729,0.039992002
19910320,-0.84,0.82,-0.26,0.07,-0.12,0.02,-0.843547882,0.816656267,-0.260338587,0.069975511,-0.120072058
19910321,0.48,0.01,0.09,-0.05,0.13,0.02,0.478851673,0.0099995,0.089959524,-0.050012504,0.129915573
19910322,0.02,-0.13,-0.3,0.31,0.28,0.02,0.019998,-0.130084573,-0.300450902,0.309520491,0.27960873
19910325,-0.75,-0.07,0.06,-0.27,-0.08,0.02,-0.752826642,-0.070024511,0.059982007,-0.270365157,-0.080032017
19910326,0.39,-0.04,-0.35,0.28,-0.29,0.02,0.389241472,-0.040008002,-0.350613933,0.27960873,-0.290421315
19910327,-0.38,0.38,0.03,0.06,-0.34,0.02,-0.380723834,0.379279824,0.029995501,0.059982007,-0.340579313
19910328,-0.26,0.55,0.26,-0.12,-0.04,0.02,-0.260338587,0.548493023,0.259662585,-0.120072058,-0.040008002
19910329,0.38,-0.05,0.01,0.13,0.07,0.02,0.379279824,-0.050012504,0.0099995,0.129915573,0.069975511
19910401,-0.18,0.57,0.19,-0.03,-0.02,0.02,-0.180162195,0.568381647,0.189819728,-0.030004501,-0.020002
19910402,1.77,-0.8,-0.51,0.27,-0.26,0.02,1.754517922,-0.80321717,-0.511304939,0.269636155,-0.260338587
19910403,1.13,-0.28,-0.05,-0.09,-0.24,0.02,1.123663193,-0.280392733,-0.050012504,-0.090040524,-0.240288462
19910404,0.64,-0.03,0.04,-0.15,-0.16,0.02,0.637960696,-0.030004501,0.039992002,-0.150112613,-0.160128137
19910405,-0.51,0.26,0.04,-0.25,0.11,0.02,-0.511304939,0.259662585,0.039992002,-0.250313022,0.109939544
19910408,-0.23,-0.03,-0.05,0,0.09,0.02,-0.230264906,-0.030004501,-0.050012504,0,0.089959524
19910409,0.06,0.49,0.09,-0.04,0.09,0.02,0.059982007,0.488803407,0.089959524,-0.040008002,0.089959524
19910410,-0.75,0.31,0.03,0.16,0.07,0.02,-0.752826642,0.309520491,0.029995501,0.159872136,0.069975511
19910411,0.7,-0.1,-0.12,-0.1,-0.17,0.02,0.697561374,-0.100050033,-0.120072058,-0.100050033,-0.170144664
19910412,0.35,-0.22,-0.04,-0.11,0.13,0.02,0.349388925,-0.220242356,-0.040008002,-0.110060544,0.129915573
19910415,0.93,-0.43,-0.2,0.25,-0.02,0.02,0.925702126,-0.430927159,-0.200200267,0.24968802,-0.020002
19910416,0.47,-0.15,-0.17,0.19,0.05,0.02,0.468898949,-0.150112613,-0.170144664,0.189819728,0.049987504
19910417,0.16,0.18,0.25,-0.07,-0.16,0.02,0.159872136,0.179838194,0.24968802,-0.070024511,-0.160128137
19910418,-0.93,0.21,0.44,-0.2,0.15,0.02,-0.9343515,0.209779808,0.43903483,-0.200200267,0.149887612
19910419,-1.7,0.43,0.35,-0.08,0.21,0.02,-1.714615883,0.429078142,0.349388925,-0.080032017,0.209779808
19910422,-1.63,0.1,-0.06,0.08,0.09,0.02,-1.643430646,0.099950033,-0.060018007,0.079968017,0.089959524
