This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201904 CRSP database.,,,,,,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,,,,,,
,Mkt-RF_simple,SMB_simple,HML_simple,RMW_simple,CMA_simple,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19640228,0.21,0.02,0.42,-0.07,-0.17,0.014,0.209779808,0.019998,0.419120462,-0.070024511,-0.170144664
19640302,0.22,-0.06,0.32,-0.21,0.19,0.015,0.219758354,-0.060018007,0.31948909,-0.210220809,0.189819728
19640303,0.26,-0.35,-0.25,0.06,0.26,0.015,0.259662585,-0.350613933,-0.250313022,0.059982007,0.259662585
19640304,-0.2,0.02,-0.11,-0.46,0.06,0.015,-0.200200267,0.019998,-0.110060544,-0.461061256,0.059982007
19640305,0,0.18,0.22,0.05,-0.17,0.015,0,0.179838194,0.219758354,0.049987504,-0.170144664
19640306,0.32,0.33,0.01,0.03,0.06,0.015,0.31948909,0.329456695,0.0099995,0.029995501,0.059982007
19640309,0.01,0.02,0.42,-0.02,0,0.015,0.0099995,0.019998,0.419120462,-0.020002,0
19640310,0.28,-0.37,0.25,0.2,0.11,0.015,0.27960873,-0.370686193,0.24968802,0.199800266,0.109939544
19640311,0.4,-0.25,0.19,-0.09,0.26,0.015,0.399202127,-0.250313022,0.189819728,-0.090040524,0.259662585
19640312,0.18,-0.05,0.17,-0.12,-0.04,0.015,0.179838194,-0.050012504,0.169855664,-0.120072058,-0.040008002
19640313,0.09,0.11,0.1,-0.24,0.27,0.015,0.089959524,0.109939544,0.099950033,-0.240288462,0.269636155
19640316,0.03,0.05,-0.22,-0.06,-0.12,0.015,0.029995501,0.049987504,-0.220242356,-0.060018007,-0.120072058
19640317,0.19,0.06,0.25,0.01,-0.01,0.015,0.189819728,0.059982007,0.24968802,0.0099995,-0.0100005
19640318,0.1,0.07,0.5,-0.39,0.34,0.015,0.099950033,0.069975511,0.498754151,-0.390762483,0.339423307
19640319,-0.09,0.09,0.02,0.1,0.04,0.015,-0.090040524,0.089959524,0.019998,0.099950033,0.039992002
19640320,-0.42,0.31,0.1,-0.18,0.21,0.015,-0.420884477,0.309520491,0.099950033,-0.180162195,0.209779808
