date,rf_rate_cad
2007-04-18,0.000248314
2007-04-19,0.000246884
2007-04-20,0.000246884
2007-04-23,0.000246708
2007-04-24,0.000245278
2007-04-25,0.000246818
2007-04-26,0.0002453
2007-04-27,0.0002453
2007-04-30,0.000244552
2007-05-01,0.000199577
2007-05-02,0.000199343
2007-05-03,0.000199152
2007-05-04,0.000199152
2007-05-07,0.000199008
2007-05-08,0.00019908
2007-05-09,0.000199944
2007-05-10,0.000200286
2007-05-11,0.000200286
2007-05-14,0.000197658
2007-05-15,0.000198558
2007-05-16,0.000197856
2007-05-17,0.000196056
2007-05-18,0.000196056
2007-05-21,0.000195714
2007-05-22,0.000194976
2007-05-23,0.000195174
2007-05-24,0.000194238
2007-05-25,0.000194238
2007-05-29,0.000193302
2007-05-30,0.000192618
2007-05-31,0.000190782
2007-06-01,0.000201381
2007-06-04,0.000201799
2007-06-05,0.000201058
2007-06-06,0.000202046
2007-06-07,0.000201723
2007-06-08,0.000201723
2007-06-11,0.000202673
2007-06-12,0.000202749
2007-06-13,0.000202844
2007-06-14,0.000202844
2007-06-15,0.000202844
2007-06-18,0.000201818
2007-06-19,0.000202787
2007-06-20,0.000204022
2007-06-21,0.000202749
2007-06-22,0.000202749
2007-06-25,0.00020329
2007-06-26,0.000203262
2007-06-27,0.000201229
2007-06-28,0.000202255
2007-06-29,0.000202255
2007-07-02,0.000201457
2007-07-03,0.000200887
2007-07-05,0.000199044
2007-07-06,0.000199044
2007-07-09,0.000200545
2007-07-10,0.000200412
2007-07-11,0.000198626
2007-07-12,0.000198949
2007-07-13,0.000198949
2007-07-16,0.000198217
2007-07-17,0.000198379
2007-07-18,0.000198227
2007-07-19,0.000199245
2007-07-20,0.000199245
2007-07-23,0.000196954
2007-07-24,0.000197942
2007-07-25,0.000200184
2007-07-26,0.000202141
2007-07-27,0.000202141
2007-07-30,0.000202692
2007-07-31,0.00020064
2007-08-01,0.00018954
2007-08-02,0.000189378
2007-08-03,0.000189378
2007-08-06,0.000189918
2007-08-07,0.00018873
2007-08-08,0.000190269
2007-08-09,0.000189558
2007-08-10,0.000189558
2007-08-13,0.000192276
2007-08-14,0.0001944
2007-08-15,0.000193104
2007-08-16,0.00019098
2007-08-17,0.00019098
2007-08-20,0.000191556
2007-08-21,0.000190926
2007-08-22,0.000189828
2007-08-23,0.000189378
2007-08-24,0.000189378
2007-08-27,0.000191646
2007-08-28,0.000190872
2007-08-29,0.000190386
2007-08-30,0.000190098
2007-08-31,0.000190098
2007-09-04,0.000179095
2007-09-05,0.000178755
2007-09-06,0.000179248
2007-09-07,0.000179248
2007-09-10,0.000177208
2007-09-11,0.000176205
2007-09-12,0.00017595
2007-09-13,0.00017493
2007-09-14,0.00017493
2007-09-17,0.00017238
2007-09-18,0.000172434
2007-09-19,0.000170136
2007-09-20,0.000170102
2007-09-21,0.000170102
2007-09-24,0.000170697
2007-09-25,0.000170714
2007-09-26,0.000170306
2007-09-27,0.000169286
2007-09-28,0.000169286
2007-10-01,0.000139804
2007-10-02,0.000139804
2007-10-03,0.000139566
2007-10-04,0.000137438
2007-10-05,0.000137438
2007-10-08,0.00013755
2007-10-09,0.000137396
2007-10-10,0.000136626
2007-10-11,0.000136276
2007-10-12,0.000136276
2007-10-15,0.00013706
2007-10-16,0.000136402
2007-10-17,0.00013636
2007-10-18,0.000134848
2007-10-19,0.000134848
2007-10-22,0.000135352
2007-10-23,0.000135674
2007-10-24,0.000135254
2007-10-25,0.00013468
2007-10-26,0.00013468
2007-10-29,0.000133476
2007-10-30,0.000132538
2007-10-31,0.00013307
2007-11-01,0.000149504
2007-11-02,0.000149504
2007-11-05,0.000146992
2007-11-06,0.000149328
2007-11-07,0.000149568
2007-11-08,0.000150176
